DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52 WEEK HIGH,52 WEEK LOW,VOLUME,VALUE,NO. OF  TRADES,Daily Avg Return,weekly Avg Return,monthly Avg Return,,,
4-Aug-26,EQ,"1,452.00","1,454.60","1,430.80","1,460.00","1,454.60","1,454.60","1,441.86","1,480.00","1,187.60","1,14,58,963","16,52,22,16,613.90","1,41,775",-0.36986%,,,,,
3-Aug-26,EQ,"1,442.00","1,460.00","1,433.00","1,435.40","1,460.00","1,460.00","1,445.87","1,480.00","1,187.60","77,06,747","11,14,29,59,295.90","1,85,170",1.71381%,,,,,
31-Jul-26,EQ,"1,434.30","1,441.90","1,431.40","1,433.90","1,433.90","1,435.40","1,434.95","1,494.50","1,187.60","87,52,440","12,55,93,02,182.90","1,00,099",0.10461%,,,,,
30-Jul-26,EQ,"1,431.10","1,442.20","1,422.60","1,437.90","1,430.00","1,433.90","1,430.78","1,494.50","1,187.60","1,41,41,173","20,23,29,71,620.00","1,80,054",-0.27818%,,,,,
29-Jul-26,EQ,"1,442.50","1,448.50","1,428.50","1,430.80","1,437.80","1,437.90","1,438.32","1,494.50","1,187.60","1,08,56,166","15,61,46,04,535.70","1,55,779",0.49623%,,,,,
28-Jul-26,EQ,"1,442.30","1,445.90","1,417.60","1,445.70","1,417.60","1,430.80","1,431.30","1,494.50","1,187.60","1,94,86,209","27,89,07,07,962.20","2,45,191",-1.03064%,,,,,
27-Jul-26,EQ,"1,435.70","1,449.00","1,428.80","1,432.90","1,445.50","1,445.70","1,439.49","1,494.50","1,187.60","1,06,08,300","15,27,05,61,725.50","1,95,530",0.89329%,,,,,
24-Jul-26,EQ,"1,428.00","1,440.00","1,415.40","1,434.60","1,436.00","1,432.90","1,428.15","1,500.00","1,187.60","1,08,70,914","15,52,52,53,507.70","2,15,086",-0.11850%,,,,,
23-Jul-26,EQ,"1,432.50","1,446.00","1,426.60","1,440.70","1,433.40","1,434.60","1,435.23","1,500.00","1,187.60","1,24,09,328","17,81,02,97,603.80","1,66,912",-0.42341%,,,,,
22-Jul-26,EQ,"1,466.40","1,466.40","1,438.40","1,463.10","1,439.70","1,440.70","1,444.85","1,500.00","1,187.60","83,45,136","12,05,74,81,788.80","2,12,805",-1.53100%,,,,,
21-Jul-26,EQ,"1,470.00","1,473.90","1,456.60","1,460.20","1,463.10","1,463.10","1,463.91","1,500.00","1,187.60","1,82,69,907","26,74,54,65,548.10","1,86,971",0.19860%,,,,,
20-Jul-26,EQ,"1,444.50","1,480.00","1,439.50","1,444.30","1,461.00","1,460.20","1,457.49","1,500.00","1,187.60","2,22,36,415","32,40,94,55,230.50","2,93,168",1.10088%,,,,,
